title,artist,highest_peak,total_weeks_on_chart,first_appearance,hit_score,is_hit
1994,Jason Aldean,52,66,2013-03-29,180,1
1999,Prince,12,59,2016-05-06,206,1
2 Be Loved (Am I Ready),Lizzo,55,91,2022-07-29,227,1
2 Hands,Tate McRae,41,3,2024-11-29,65,0
2 Much,Justin Bieber,68,1,2021-04-02,34,0
2 On,Tinashe Featuring ScHoolboy Q,24,300,2014-05-23,676,1
2 Phones,Kevin Gates,17,325,2016-01-22,733,1
2 Reasons,Trey Songz Featuring T.I.,43,210,2012-07-20,477,1
20/20,Lil Tjay,94,1,2020-01-17,8,0
2012 (It Ain't The End),Jay Sean Featuring Nicki Minaj,31,105,2010-08-20,279,1
2018,Rod Wave & Sadie Jean,61,1,2023-09-29,41,0
2040,Lil Baby & Lil Durk,31,3,2021-06-18,75,0
2055,Sleepy Hallow,51,153,2021-07-30,355,1
21,Polo G,62,36,2020-05-29,110,0
21st Century Girl,WILLOW,99,1,2011-03-18,3,0
22,Taylor Swift,20,210,2012-11-09,500,1
22 (Taylor's Version),Taylor Swift,52,1,2021-11-26,50,0
223's,YNW Melly & 9lokknine,34,190,2019-09-20,446,1
23,Chayce Beckham,45,210,2024-01-12,475,1
23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",11,276,2013-09-27,641,1
23,Sam Hunt,50,210,2022-01-07,470,1
24,Kanye West,43,1,2021-09-10,59,0
24,Money Man Featuring Lil Baby,49,105,2020-08-28,261,1
24 Hours,A Boogie Wit da Hoodie Featuring Lil Durk,92,1,2021-06-04,10,0
24 Hours,TeeFLii Featuring 2 Chainz,85,28,2014-09-12,71,0
24/7,Meek Mill Featuring Ella Mai,54,190,2018-12-14,426,1
24K Magic,Bruno Mars,4,861,2016-10-28,1818,1
25,Rod Wave,16,55,2024-10-25,194,1
25 Million,Roddy Ricch,77,1,2021-12-31,25,0
25 To Life,Eminem,92,1,2010-07-09,10,0
25k Jacket,Gunna Featuring Lil Baby,28,6,2022-01-21,84,0
28,Zach Bryan,14,210,2024-07-19,506,1
29,Demi Lovato,96,1,2022-09-02,6,0
2AM,BigXthaPlug,64,6,2024-11-01,48,0
2Hoo,YoungBoy Never Broke Again,86,1,2022-02-04,16,0
2U,David Guetta Featuring Justin Bieber,16,66,2017-06-30,216,1
2step,Ed Sheeran Featuring Lil Baby,48,120,2022-05-06,292,1
3,Britney Spears,1,155,2010-01-01,409,1
3 Headed Goat,Lil Durk Featuring Lil Baby & Polo G,43,136,2020-05-22,329,1
3 Headed Snake,Gunna Featuring Young Thug,74,1,2019-03-08,28,0
30,Pop Smoke Featuring Bizzy Banks,97,1,2021-07-30,5,0
30 For 30 Freestyle,Drake,88,3,2015-10-09,18,0
300 Blackout,Kodak Black,96,1,2022-11-11,6,0
300 Urus,Lil Durk,73,1,2023-06-09,29,0
3001,J. Cole,72,1,2024-04-19,30,0
31 Days,Future,65,3,2018-07-20,41,0
33,Polo G,93,1,2020-05-29,9,0
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,2,406,2020-11-13,910,1
3500,Travi$ Scott Featuring Future & 2 Chainz,82,1,2015-06-26,20,0
360,Charli xcx,41,210,2024-06-21,479,1
365,Zedd & Katy Perry,86,1,2019-03-01,16,0
3AM On Glenwood,21 Savage,27,3,2022-11-18,79,0
3D,Jung Kook & Jack Harlow,5,45,2023-10-13,185,1
4 AM,2 Chainz Featuring Travis Scott,55,78,2017-06-23,201,1
4 AM,Melanie Fiona,81,36,2012-02-17,91,0
4 Da Gang,42 Dugg & Roddy Ricch,67,105,2021-04-16,243,1
4 Da Gang,Future,92,1,2017-11-10,10,0
4 Minutes,Glee Cast,89,1,2010-05-07,13,0
4 My Town (Play Ball),Birdman Featuring Drake & Lil Wayne,90,5,2010-04-09,20,0
4 Your Eyez Only,J. Cole,29,1,2016-12-30,73,0
44 Bulldog,Pop Smoke,39,3,2020-07-17,67,0
44 More,Logic,22,15,2018-03-09,108,0
4422,Drake Featuring Sampha,50,3,2017-04-07,56,0
444+222,Lil Uzi Vert,60,6,2017-09-15,52,0
4:44,JAY-Z,35,3,2017-07-28,71,0
4KT Baby,YoungBoy Never Broke Again,96,1,2022-04-15,6,0
4th Baby Mama,Summer Walker,56,1,2021-11-19,46,0
4th Dimension,KIDS SEE GHOSTS Featuring Louis Prima,42,1,2018-06-22,60,0
4x4xU,Lainey Wilson,75,21,2024-11-22,67,0
5 Foot 9,Tyler Hubbard,22,253,2022-06-24,584,1
5 Leaf Clover,Luke Combs,33,28,2023-03-31,123,1
5 O'Clock,T-Pain Featuring Wiz Khalifa & Lily Allen,10,210,2011-10-14,510,1
5% Tint,Travis Scott,36,3,2018-08-17,70,0
5-1-5-0,Dierks Bentley,33,210,2012-05-25,487,1
50 Shots,YoungBoy Never Broke Again,59,1,2021-10-08,43,0
50 Ways To Say Goodbye,Train,20,210,2012-07-27,500,1
500lbs,Lil Tecca,51,210,2023-10-06,469,1
54321,Offset,88,1,2022-09-02,14,0
5500 Degrees,"EST Gee Featuring Lil Baby, 42 Dugg & Rylo Rodriguez",92,3,2021-08-06,14,0
6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz,9,231,2010-12-31,553,1
6 God,Drake,83,1,2015-03-06,19,0
6 Inch,Beyonce Featuring The Weeknd,18,6,2016-05-13,94,0
6 Kiss,Trippie Redd Featuring Juice WRLD & YNW Melly,60,10,2019-12-06,60,0
6 Man,Drake,97,1,2015-03-06,5,0
66,Lil Yachty Featuring Trippie Redd,73,1,2018-03-23,29,0
679,Fetty Wap Featuring Remy Boyz,4,820,2015-07-17,1736,1
7 Days,YoungBoy Never Broke Again,100,1,2022-08-19,2,0
7 Minute Drill,J. Cole,6,1,2024-04-19,96,0
7 Rings,Ariana Grande,1,561,2019-02-01,1221,1
7 Summers,Morgan Wallen,6,300,2020-08-28,694,1
7 Years,Lukas Graham,2,666,2016-02-05,1430,1
7/11,Beyonce,13,210,2014-12-12,507,1
712PM,Future,8,6,2022-05-13,104,0
7500 OBO,Tim McGraw,66,36,2022-06-10,106,0
7969 Santa,Drake,16,3,2023-10-20,90,0
7am On Bridle Path,Drake,16,6,2021-09-17,96,0
8,Billie Eilish,79,1,2019-04-12,23,0
8 Out Of 10,Drake,21,6,2018-07-13,91,0
80s Mercedes,Maren Morris,74,91,2016-11-04,208,1
865,Morgan Wallen,46,15,2021-01-22,84,0
8am In Charlotte,Drake,17,6,2023-10-20,95,0
9,Drake,45,15,2016-05-20,85,0
9 AM In Dallas,Drake,57,1,2010-07-02,45,0
9 Piece,Rick Ross Featuring Lil Wayne Or T.I.,61,3,2011-05-27,45,0
92 Explorer,Post Malone,40,6,2018-05-11,72,0
95.south,J. Cole,8,6,2021-05-28,104,0
99 Problems,Tony Lucca,58,1,2012-05-25,44,0
@ MEH,Playboi Carti,35,1,2020-05-01,67,0
A Bar Song (Tipsy),Shaboozey,1,666,2024-04-26,1431,1
A Boy Is A Gun,"Tyler, The Creator",74,1,2019-05-31,28,0
A Case Of You,James Wolpert,72,1,2013-11-22,30,0
A Cold Sunday,Lil Yachty,87,1,2024-02-16,15,0
A Girl Like You,Easton Corbin,98,1,2018-02-16,4,0
A Guy Walks Into A Bar,Tyler Farr,51,210,2015-01-16,469,1
A Guy With A Girl,Blake Shelton,42,153,2016-12-02,364,1
A Holly Jolly Christmas,Burl Ives,4,986,2017-01-06,2068,1
A House Is Not A Home,Glee Cast,70,1,2010-05-14,32,0
A Keeper,Drake,21,1,2022-07-01,81,0
A Lie,French Montana Featuring The Weeknd & Max B,75,1,2017-08-04,27,0
A Light That Never Comes,Linkin Park X Steve Aoki,65,1,2013-10-04,37,0
A Little Bit Stronger,Sara Evans,34,231,2011-01-14,528,1
A Little More Country Than That,Easton Corbin,42,210,2010-01-22,478,1
A Little More Summertime,Jason Aldean,52,91,2016-08-05,230,1
A Little Party Never Killed Nobody (All We Got),"Fergie, Q-Tip & GoonRock",77,3,2013-05-31,29,0
A Little Too Much,Shawn Mendes,94,1,2015-02-20,8,0
A Lonely Night,The Weeknd,69,1,2016-12-16,33,0
A Lot,21 Savage,12,276,2019-01-04,640,1
A Man Who Was Gonna Die Young,Eric Church,89,1,2014-02-14,13,0
A Million Dreams,P!nk,90,1,2018-11-09,12,0
A Sky Full Of Stars,Coldplay,10,351,2014-05-16,792,1
A Thousand Bad Times,Post Malone,29,6,2019-09-20,83,0
A Thousand Years,Christina Perri,31,351,2011-11-04,771,1
A Thousand Years,Sawyer Fredericks,94,1,2015-05-29,8,0
A Thousand Years (Part 2),Christina Perri Featuring Steve Kazee,53,6,2012-11-30,59,0
A Woman Like You,Lee Brice,33,210,2011-12-30,487,1
A Year Without Rain,Selena Gomez & The Scene,35,36,2010-09-24,137,1
A$AP Forever,A$AP Rocky Featuring Moby,63,3,2018-04-20,43,0
A-O-K,Tai Verdes,34,190,2021-07-16,446,1
A-YO,Lady Gaga,66,1,2016-11-11,36,0
A.M.,One Direction,94,1,2015-12-04,8,0
AA,Walker Hayes,28,300,2022-01-14,672,1
ABC,Glee Cast,88,1,2011-12-23,14,0
AGATS2 (Insecure),Juice WRLD & Nicki Minaj,68,3,2024-11-29,38,0
AM,Nio Garcia X J Balvin X Bad Bunny,41,55,2021-07-09,169,1
AMG,"Gabito Ballesteros, Peso Pluma & Natanael Cano",37,210,2023-02-03,483,1
AP,Pop Smoke,64,3,2021-03-12,42,0
APT.,ROSE & Bruno Mars,8,45,2024-11-01,182,1
ASMR,21 Savage,95,1,2019-01-04,7,0
ATM,J. Cole,6,15,2018-05-04,124,1
About Damn Time,Lizzo,1,903,2022-04-29,1905,1
About The Money,T.I. Featuring Young Thug,42,210,2014-08-22,478,1
About You,Trey Songz,83,6,2015-09-11,29,0
Abracadabra,Young Thug Featuring Travis Scott,97,1,2023-07-07,5,0
Acapella,Karmin,72,36,2013-07-26,100,0
Accidental Racist,Brad Paisley Featuring LL Cool J,77,1,2013-04-26,25,0
According To You,Orianthi,17,228,2010-01-01,539,1
Acho PR,"Bad Bunny, Arcangel, De La Ghetto & Nengo Flow",83,1,2023-10-27,19,0
Achy Breaky 2,Buck 22 Featuring Billy Ray Cyrus,80,1,2014-02-28,22,0
Acquainted,The Weeknd,60,171,2015-09-18,382,1
Acrostico,Shakira,84,1,2023-05-26,18,0
Act II: Date @ 8,4batz Featuring Drake,7,210,2024-01-19,513,1
Act Right,Yo Gotti Featuring Jeezy & YG,100,1,2013-09-20,2,0
Act Up,City Girls,26,231,2019-03-15,536,1
Adderall (Corvette Corvette),Popp Hunna,74,21,2021-01-01,68,0
Addicted,Chris Brown Featuring Lil Baby,92,1,2022-07-08,10,0
Adicto,"Tainy, Anuel AA & Ozuna",86,3,2019-10-04,20,0
Adivino,Myke Towers & Bad Bunny,63,3,2024-05-10,43,0
Adore,Cashmere Cat Featuring Ariana Grande,93,1,2015-03-20,9,0
Adore You,Harry Styles,6,1275,2019-12-20,2644,1
Adore You,Miley Cyrus,21,171,2013-10-25,421,1
Adorn,Miguel,17,561,2012-08-17,1205,1
Adrenalina,Wisin Featuring Jennifer Lopez & Ricky Martin,94,1,2014-03-21,8,0
Adventure Of A Lifetime,Coldplay,13,210,2015-11-27,507,1
Afire Love,Ed Sheeran,37,1,2014-07-04,65,0
Afraid To Sleep,Vicci Martinez,78,1,2011-07-15,24,0
Africa,Weezer,51,120,2018-06-15,289,1
After A Few,Travis Denning,31,120,2020-04-10,309,1
After Dark,Drake Featuring Static Major & Ty Dolla $ign,41,6,2018-07-13,71,0
After Hours,Kehlani,72,36,2024-06-07,100,0
After Hours,The Weeknd,20,28,2020-02-28,136,1
After Last Night,Silk Sonic (Bruno Mars & Anderson .Paak) With Thundercat & Bootsy Collins,68,1,2021-11-26,34,0
After Midnight,blink-182,88,1,2011-10-14,14,0
After Party,Don Toliver,57,210,2020-05-01,463,1
Afterglow,Ed Sheeran,29,55,2021-01-01,181,1
Afterglow,Taylor Swift,75,1,2019-09-06,27,0
Again,Fetty Wap,33,351,2015-08-28,769,1
Agora Hills,Doja Cat,7,780,2023-10-06,1653,1
Agosto,Bad Bunny,74,1,2022-05-20,28,0
Aguacero,Bad Bunny,44,6,2022-05-20,68,0
Ahhh Ha,Lil Durk,18,66,2022-03-04,214,1
Ai Se Eu Te Pego,Michel Telo,81,78,2012-04-13,175,1
Aim For The Moon,Pop Smoke Featuring Quavo,34,3,2020-07-17,72,0
Ain't Always The Cowboy,Jon Pardi,55,171,2020-09-11,387,1
Ain't Back Yet,Kenny Chesney,50,91,2010-03-19,232,1
Ain't Easy,YoungBoy Never Broke Again,83,1,2020-05-08,19,0
Ain't It Fun,Paramore,10,300,2014-03-14,690,1
Ain't Leavin Without You,Jaheim,93,10,2010-02-12,27,0
Ain't My Fault,Zara Larsson,76,28,2016-10-28,80,0
Ain't No Love,Future & Metro Boomin,41,1,2024-04-05,61,0
Ain't No Love In Oklahoma,Luke Combs,13,378,2024-05-31,843,1
Ain't No Stopping Us Now,Kane Brown,88,1,2016-07-08,14,0
Ain't Safe,Trippie Redd & Don Toliver,92,1,2022-11-11,10,0
Ain't Shit,Doja Cat,24,105,2021-07-09,286,1
Ain't That Some,Morgan Wallen,11,210,2023-03-17,509,1
Ain't Worried About Nothin,French Montana,63,91,2013-07-05,219,1
Ain't Worth The Whiskey,Cole Swindell,43,190,2015-01-16,437,1
Ain't Your Mama,Jennifer Lopez,76,3,2016-04-29,30,0
Aint Gotta Dollar,Oliver Anthony Music,82,3,2023-08-25,24,0
Airplanes,B.o.B Featuring Hayley Williams,2,465,2010-04-30,1028,1
Album Of The Year (Freestyle),J. Cole,87,1,2018-08-24,15,0
Alejandro,Lady Gaga,5,276,2010-04-16,647,1
Alibi,"Sevdaliza, Pabllo Vittar & Yseult",95,10,2024-08-02,25,0
Alice,Avril Lavigne,71,6,2010-03-19,41,0
Alice,Lady Gaga,84,1,2020-06-12,18,0
Alien Superstar,Beyonce,19,15,2022-08-12,111,0
Alive,Krewella,32,210,2013-03-01,488,1
Alive,Sia,56,6,2015-10-16,56,0
All About It,Hoodie Allen Featuring Ed Sheeran,71,10,2015-01-23,49,0
All About That Bass,Meghan Trainor,1,1128,2014-07-25,2355,1
All About Tonight,Blake Shelton,37,190,2010-07-02,443,1
All Alone,Lil Uzi Vert,76,1,2023-07-14,26,0
All Around Me,Justin Bieber,100,1,2020-02-28,2,0
All Around The World,Justin Bieber Featuring Ludacris,22,45,2012-06-22,168,1
All Bad,Future Featuring Lil Uzi Vert,54,1,2020-05-29,48,0
All Bad,Justin Bieber,50,1,2013-11-29,52,0
All By Myself,Glee Cast,87,1,2011-05-06,15,0
All Da Smoke,Future & Young Thug,77,1,2017-11-10,25,0
All Dat,Moneybagg Yo X Megan Thee Stallion,70,10,2019-10-25,50,0
All Day,"Kanye West Featuring Theophilus London, Allan Kingdom & Paul McCartney",15,120,2015-03-20,325,1
All Day Long,Chance The Rapper Featuring John Legend,94,1,2019-08-09,8,0
All Eyes On You,Meek Mill Featuring Chris Brown & Nicki Minaj,21,210,2015-07-10,499,1
All Eyez,The Game Featuring Jeremih,79,15,2016-10-21,51,0
All Girls Are The Same,Juice WRLD,41,210,2018-05-25,479,1
All Gold Everything,Trinidad James,36,210,2012-12-28,484,1
All I Ask,Adele,77,1,2016-03-04,25,0
All I Do Is Win,"DJ Khaled Featuring T-Pain, Ludacris, Snoop Dogg & Rick Ross",24,300,2010-03-05,676,1
All I Ever Wanted,Kelly Clarkson,96,21,2010-04-23,46,0
All I Got,Rod Wave,71,1,2021-04-09,31,0
All I Know,The Weeknd Featuring Future,46,3,2016-12-16,60,0
All I Know So Far,P!nk,74,15,2021-05-21,56,0
All I Need Is You,Chris Janson,98,1,2024-02-09,4,0
All I Want,Olivia Rodrigo,90,3,2020-01-17,16,0
All I Want For Christmas Is You,Mariah Carey,1,2461,2012-12-21,5021,1
All I Want For Christmas Is You,Michael Buble,99,1,2011-12-30,3,0
All I Want For Christmas Is You (SuperFestive!),Justin Bieber Duet With Mariah Carey,86,1,2011-11-18,16,0
All I Want Is You,Miguel Featuring J. Cole,58,105,2010-10-01,252,1
All In,Lil Baby,45,36,2020-05-08,127,1
All In,YoungBoy Never Broke Again,67,6,2020-09-04,45,0
All In My Head (Flex),Fifth Harmony Featuring Fetty Wap,24,171,2016-07-08,418,1
All Kinds Of Kinds,Miranda Lambert,89,15,2013-10-25,41,0
All Me,Drake Featuring 2 Chainz & Big Sean,20,210,2013-10-11,500,1
All Mine,Brent Faiyaz,42,210,2022-07-22,478,1
All Mine,Kanye West,11,45,2018-06-15,179,1
All My Friends,21 Savage,67,3,2019-01-04,39,0
All My Life,Falling In Reverse & Jelly Roll,77,1,2024-06-21,25,0
All My Life,"Future, Metro Boomin & Lil Baby",61,1,2024-04-26,41,0
All My Life,Lil Durk Featuring J. Cole,2,300,2023-05-26,698,1
All Night,Beyonce,38,3,2016-05-13,68,0
All Night Parking (Interlude),Adele With Erroll Garner,53,1,2021-12-03,49,0
All Of Me,21 Savage,18,10,2024-01-26,102,0
All Of Me,John Legend,1,1770,2013-09-20,3639,1
All Of The Girls You Loved Before,Taylor Swift,12,21,2023-03-31,130,1
All Of The Lights,Kanye West,18,325,2010-12-10,732,1
All Of You,"Stephanie Beatriz, Olga Merediz, John Leguizamo, Adassa, Maluma & Encanto Cast",71,28,2022-01-28,85,0
All On Me,Devin Dawson,52,205,2017-11-17,458,1
All Or Nothing,Theory Of A Deadman,99,1,2010-05-21,3,0
All Over Me,Josh Turner,59,171,2010-07-16,383,1
All Over The Road,Easton Corbin,51,210,2013-05-24,469,1
All Red,Playboi Carti,15,10,2024-09-27,105,0
All That Matters,Justin Bieber,24,36,2013-11-01,148,1
All The Good Girls Go To Hell,Billie Eilish,46,28,2019-04-12,110,0
All The Money (Bonus),Metro Boomin & Gunna,66,1,2022-12-16,36,0
All The Parties,Drake Featuring Chief Keef,26,3,2023-10-20,80,0
All The Pretty Girls,Kenny Chesney,63,105,2017-08-18,247,1
All The Right Moves,OneRepublic,18,540,2010-01-01,1162,1
All The Stars,Kendrick Lamar & SZA,7,231,2018-01-19,555,1
All The Way Home,Tamar Braxton,96,1,2013-12-20,6,0
All The Way Live,"Metro Boomin, Future & Lil Uzi Vert",61,3,2023-06-16,45,0
All The Way Turnt Up,Roscoe Dash Featuring Soulja Boy Tell'em,46,78,2010-02-12,210,1
All The Way Up,"Fat Joe, Remy Ma & Jay Z Featuring French Montana & Infared",27,210,2016-04-15,493,1
All These N**gas,King Von Featuring Lil Durk,77,1,2020-11-20,25,0
All Time Low,Jon Bellion,16,253,2016-10-28,590,1
All To Myself,Dan + Shay,31,210,2019-05-17,489,1
All To Myself,"Future, Metro Boomin & The Weeknd",67,1,2024-04-26,35,0
All Too Well,Taylor Swift,80,1,2012-11-09,22,0
All Too Well (Taylor's Version),Taylor Swift,1,120,2021-11-26,339,1
All Up In Your Mind,Beyonce,70,1,2022-08-12,32,0
All We Know,The Chainsmokers Featuring Phoebe Ryan,18,136,2016-10-21,354,1
All You Had To Do Was Stay (Taylor's Version),Taylor Swift,20,3,2023-11-10,86,0
All Your Fault,Big Sean Featuring Kanye West,80,1,2015-03-13,22,0
All Your Life,The Band Perry,37,276,2011-09-23,615,1
All-American Bitch,Olivia Rodrigo,13,10,2023-09-22,107,0
Allergic,Post Malone,37,3,2019-09-20,69,0
Alliigator Tears,Beyonce,52,1,2024-04-12,50,0
Almost Is Never Enough,Ariana Grande & Nathan Sykes,82,3,2013-09-06,24,0
Almost Like Praying,Lin-Manuel Miranda Featuring Artists For Puerto Rico,20,1,2017-10-27,82,0
Almost Maybes,Jordan Davis,43,276,2021-01-15,609,1
Almost Slipped,Meek Mill,73,1,2018-12-14,29,0
Alone,Halsey Featuring Big Sean & Stefflon Don,66,105,2018-04-20,244,1
Alone,Kim Petras Featuring Nicki Minaj,55,1,2023-05-05,47,0
Alone,Marshmello,28,66,2016-11-04,204,1
Alone,Rod Wave,21,15,2022-08-26,109,0
Alone Again,The Weeknd,21,1,2020-04-03,81,0
Alone Together,Fall Out Boy,71,36,2013-12-13,101,0
Alone With You,Jake Owen,41,210,2011-12-23,479,1
Alotta Cake,Gunna,46,3,2022-01-21,60,0
Already Callin' You Mine,Parmalee,91,6,2015-11-20,21,0
Already Dead,Juice WRLD,20,28,2021-11-26,136,1
Already Gone,Kelly Clarkson,13,286,2010-01-01,659,1
Already Won,Rod Wave Featuring Lil Durk,60,1,2021-09-03,42,0
Alright,Kendrick Lamar,81,105,2015-04-03,229,1
Always Been You,Jessie Murph,95,1,2021-12-10,7,0
Always Do,The Kid LAROI,83,1,2020-11-20,19,0
Always Forever,Bryson Tiller,83,1,2020-10-16,19,0
Always Remember Us This Way,Lady Gaga,41,45,2018-10-19,149,1
Am I Dreaming,Lil Nas X Featuring Miley Cyrus,97,1,2021-10-01,5,0
Am I Dreaming,"Metro Boomin, A$AP Rocky & Roisee",51,10,2023-06-16,69,0
Am I Okay?,Megan Moroney,63,136,2024-08-16,309,1
Am I The Only One,Aaron Lewis,14,3,2021-07-16,92,0
Am I The Only One,Dierks Bentley,39,210,2011-05-20,481,1
Am I Wrong,Nico & Vinz,4,496,2014-05-02,1088,1
Amargura,Karol G,85,21,2023-08-25,57,0
Ambition,Wale Featuring Meek Mill & Rick Ross,81,1,2011-11-18,21,0
Amen,Beyonce,87,1,2024-04-12,15,0
Amen,Drake Featuring Teezo Touchdown,15,3,2023-10-20,91,0
Amen,Edens Edge,83,21,2011-12-23,59,0
Amen,Meek Mill Featuring Drake,57,171,2012-07-06,385,1
America Has A Problem,Beyonce Featuring Kendrick Lamar,38,15,2022-08-12,92,0
American Country Love Song,Jake Owen,55,153,2016-03-25,351,1
American Girl,Bonnie McKee,87,21,2013-09-06,55,0
American Honey,Lady Antebellum,25,210,2010-01-08,495,1
American Kids,Kenny Chesney,23,210,2014-07-04,497,1
American Nights,Zach Bryan,21,45,2024-07-19,169,1
American Oxygen,Rihanna,78,10,2015-05-01,42,0
American Saturday Night,Brad Paisley,67,117,2010-01-01,267,1
American Star,Lil Wayne Featuring Shanell AKA SNL,91,1,2010-02-19,11,0
Ameriican Requiem,Beyonce,30,1,2024-04-12,72,0
Amnesia,5 Seconds Of Summer,16,210,2014-07-18,504,1
Amor Genuino,Ozuna,92,1,2019-06-21,10,0
Amped,Lil Uzi Vert,67,1,2023-07-14,35,0
Anaconda,Nicki Minaj,2,253,2014-08-22,604,1
Andrea,Bad Bunny & Buscabulla,51,10,2022-05-20,69,0
Angel,Akon,56,55,2010-10-08,154,1
Angel,Jacquie Lee,87,1,2013-12-27,15,0
Angel,Javier Colon,64,1,2011-07-01,38,0
Angel Eyes,Love And Theft,32,210,2012-06-01,488,1
Angel In Blue Jeans,Train,79,6,2014-09-26,33,0
Angel With An Attitude,Rod Wave,46,3,2024-10-25,60,0
"Angel, Pt. 1","Kodak Black, NLE Choppa, Jimin, JVKE & Muni Long",65,3,2023-06-02,41,0
Angels Don't Always Have Wings,Thomas Rhett,69,45,2023-07-28,121,1
Animal,Glee Cast,62,1,2011-03-25,40,0
Animal,Neon Trees,13,666,2010-06-18,1419,1
Animals,Maroon 5,3,561,2014-09-05,1219,1
Animals,Martin Garrix,21,595,2013-10-04,1269,1
Annihilate,"Metro Boomin, Swae Lee, Lil Wayne & Offset",44,10,2023-06-16,76,0
Another Day,Kid Cudi,64,1,2020-12-25,38,0
Another Late Night,Drake Featuring Lil Yachty,29,3,2023-10-20,77,0
Another One Bites The Dust,Glee Cast,79,1,2010-06-18,23,0
Another One Of Me,"Diddy, French Montana & The Weeknd Featuring 21 Savage",87,1,2023-09-29,15,0
Another Round,Fat Joe Featuring Chris Brown,80,21,2012-04-20,62,0
Another Way To Die,Disturbed,81,1,2010-07-02,21,0
Antes,Anuel AA & Ozuna,100,1,2021-02-05,2,0
Anti-Hero,Taylor Swift,1,1431,2022-11-04,2961,1
Antichrist,Eminem,39,1,2024-07-26,63,0
Antidote,Travis Scott,16,351,2015-09-25,786,1
Antisocial,Ed Sheeran & Travis Scott,37,10,2019-07-26,83,0
Any Ol' Barstool,Jason Aldean,52,171,2017-02-10,390,1
Any Way You Want It/Lovin' Touchin' Squeezin',Glee Cast,58,1,2010-06-25,44,0
Anybody,Young Thug Featuring Nicki Minaj,89,1,2018-04-27,13,0
Anyone,Demi Lovato,34,3,2020-02-07,72,0
Anyone,Justin Bieber,6,153,2021-01-15,400,1
Anything Could Happen,Ellie Goulding,47,210,2012-10-26,473,1
Anything Goes,Florida Georgia Line,55,171,2014-10-10,387,1
