title,artist,highest_peak,total_weeks_on_chart,first_appearance,hit_score,is_hit,join_key,track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
A Year Without Rain,Selena Gomez & The Scene,35,36,2010-09-24,137,1,a year without rain_selena gomez the scene,0lYS1tJg3r6ATe9bRPB0Hu,A Year Without Rain,Selena Gomez & The Scene,61.0,6r8008bnpeLNfHdYCKtPK0,A Year Without Rain (International Standard Version),2010-01-01,Post pop teen,222nc9tKxKhfZ2GBrOpwH3,pop,post-teen pop,0.627,0.81,2.0,-5.296,0.0,0.0431,0.0125,3.09e-05,0.111,0.409,119.98,234347.0
Acapella,Karmin,72,36,2013-07-26,100,0,acapella_karmin,6RjW45KHJ6kgI2xQ1aFa52,Acapella,Karmin,63.0,2UvU0egYoXsysWkHqQy4Lc,Pulses,2014-03-21,The Sound of Post-Teen Pop,10FCW9lj0NdeoYI5VVvVtY,pop,post-teen pop,0.667,0.619,2.0,-4.933,1.0,0.151,0.126,0.0,0.101,0.427,169.865,198907.0
Act Up,City Girls,26,231,2019-03-15,536,1,act up_city girls,3A2yGHWIzmGEIolwonU69h,Act Up,City Girls,78.0,6zzs0HMzEPRotJaEJe8uwJ,Girl Code,2018-11-16,Feeling Accomplished,37i9dQZF1DWTDafB3skWPN,r&b,hip pop,0.938,0.638,8.0,-4.713,1.0,0.189,0.0167,0.0,0.111,0.313,97.075,158332.0
Adore You,Harry Styles,6,1275,2019-12-20,2644,1,adore you_harry styles,1M4qEo4HE3PRaCOM7EXNJq,Adore You,Harry Styles,91.0,5SL9nXZYZZl68bHwaM8uLa,Adore You,2019-12-06,2020 Hits & 2019  Hits – Top Global Tracks 🔥🔥🔥,4JkkvMpVl4lSioqQjeAL0q,latin,latin pop,0.676,0.771,8.0,-3.675,1.0,0.0483,0.0237,7e-06,0.102,0.569,99.048,207133.0
Adventure Of A Lifetime,Coldplay,13,210,2015-11-27,507,1,adventure of a lifetime_coldplay,69uxyAqqPIsUyTO8txoP2M,Adventure of a Lifetime,Coldplay,74.0,3cfAM8b8KqJRoIzt3zLKqw,A Head Full of Dreams,2015-12-04,HIP&HOP,5DyJsJZOpMJh34WvUrQzMV,rap,southern hip hop,0.638,0.924,7.0,-3.887,1.0,0.0359,0.00205,0.000173,0.149,0.529,111.995,263787.0
Again,Fetty Wap,33,351,2015-08-28,769,1,again_fetty wap,3ESSGgWzRf1xvP7G5hHMhB,Again,Fetty Wap,68.0,2gKQvajkEEaDtkqJ8FJ4uw,Fetty Wap (Deluxe),2015-09-25,HIP&HOP,5DyJsJZOpMJh34WvUrQzMV,rap,southern hip hop,0.748,0.733,11.0,-4.421,0.0,0.072,0.0062,0.0,0.329,0.291,93.019,312240.0
Ain't My Fault,Zara Larsson,76,28,2016-10-28,80,0,aint my fault_zara larsson,0ADG9OgdVTL7fgREP75BrZ,Ain't My Fault,Zara Larsson,69.0,5YLRVHDVRw3QqWbeTGpC5B,So Good,2017-03-17,indie poptimism🕺🏻,6MQeEHHDs6HQkN5Dlj3oKo,pop,indie poptimism,0.576,0.782,6.0,-4.825,0.0,0.0296,0.00778,0.0,0.285,0.355,141.153,224031.0
Ain't Your Mama,Jennifer Lopez,76,3,2016-04-29,30,0,aint your mama_jennifer lopez,2hgzdQdnfWwtdpZbhZlV72,Ain't Your Mama,Jennifer Lopez,71.0,5Bd99eGJKXoRMnqgqWlWmp,Ain't Your Mama,2016-04-07,"Hot Latino Mix (Latin, Hip Hop, Rap, RnB, Dancehall, Reggeaton, Afro)",3hR2R6szlkwZeGyclTgHcF,latin,latin hip hop,0.757,0.678,8.0,-5.529,0.0,0.233,0.0472,9.14e-06,0.0654,0.82,120.075,218235.0
Alive,Krewella,32,210,2013-03-01,488,1,alive_krewella,59mrqUmhpmcfUns8BKkV30,Alive,Krewella,55.0,1Y7A8ZaZ9QyeeOa3uWQJqc,Get Wet,2013-09-20,Post pop teen,222nc9tKxKhfZ2GBrOpwH3,pop,post-teen pop,0.671,0.828,9.0,-2.907,1.0,0.053,0.00304,0.00287,0.352,0.57,127.976,288880.0
All About That Bass,Meghan Trainor,1,1128,2014-07-25,2355,1,all about that bass_meghan trainor,5jE48hhRu8E6zBDPRSkEq7,All About That Bass,Meghan Trainor,70.0,5W98Ab4VvQEuFEE4TIe5fE,Title (Deluxe),2015-01-09,Pop Inglés (2020 - 2010s)💙 Música En Inglés 2010s,4QAzO1Z92yqqD6Mf3mOANu,pop,dance pop,0.807,0.887,9.0,-3.726,1.0,0.0503,0.0573,2.87e-06,0.124,0.961,134.052,187920.0
All Girls Are The Same,Juice WRLD,41,210,2018-05-25,479,1,all girls are the same_juice wrld,4VXIryQMWpIdGgYR4TrjT1,All Girls Are The Same,Juice WRLD,86.0,6tkjU4Umpo79wwkgPMV3nZ,Goodbye & Good Riddance,2018-12-10,Hip pop,1Sc7bobknESH7SXQcnmoX5,r&b,hip pop,0.671,0.529,0.0,-7.226,1.0,0.307,0.0769,0.000335,0.0856,0.203,161.989,165820.0
All I Want For Christmas Is You,Mariah Carey,1,2461,2012-12-21,5021,1,all i want for christmas is you_mariah carey,2g2N78BH9x4iAzeSvjG7dU,All I Want For Christmas Is You,Mariah Carey,18.0,63OsyEW79JFEVI8k4Abuo6,Merry Christmas II You,2010-01-01,Todo Éxitos,2ji5tRQVfnhaX1w9FhmSzk,pop,dance pop,0.547,0.889,9.0,-4.538,0.0,0.0586,0.0759,0.0,0.127,0.449,150.031,242347.0
All My Friends,21 Savage,67,3,2019-01-04,39,0,all my friends_21 savage,4paAidoE8VAemwU4jgCc6l,all my friends,21 Savage,72.0,007DWn799UWvfY1wwZeENR,i am > i was,2018-12-21,Trap Americana,7tkgK1tm9hYkWp7EFyOcAr,rap,trap,0.713,0.62,0.0,-4.513,1.0,0.0422,0.171,1.16e-06,0.118,0.206,130.09,211785.0
All Of Me,John Legend,1,1770,2013-09-20,3639,1,all of me_john legend,3U4isOIWM3VvDubwSI3y7a,All of Me,John Legend,85.0,4OTAx9un4e6NfoHuVRiOrC,Love In The Future (Expanded Edition),2013-08-30,Pop Inglés (2020 - 2010s)💙 Música En Inglés 2010s,4QAzO1Z92yqqD6Mf3mOANu,pop,dance pop,0.422,0.264,8.0,-7.064,1.0,0.0322,0.922,0.0,0.132,0.331,119.93,269560.0
All Of The Lights,Kanye West,18,325,2010-12-10,732,1,all of the lights_kanye west,22L7bfCiAkJo5xGSQgmiIO,All Of The Lights,Kanye West,75.0,20r762YmB5HeofjMCiPMLv,My Beautiful Dark Twisted Fantasy,2010-01-01,Feeling Accomplished,37i9dQZF1DWTDafB3skWPN,r&b,hip pop,0.541,0.803,1.0,-3.284,1.0,0.0738,0.0796,1.71e-05,0.176,0.221,142.135,299613.0
All The Good Girls Go To Hell,Billie Eilish,46,28,2019-04-12,110,0,all the good girls go to hell_billie eilish,6IRdLKIyS4p7XNiP8r6rsx,all the good girls go to hell,Billie Eilish,86.0,0S0KGZnfBGSIssfF54WSJh,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,Music&Other Drugs,5jROYSZSL7cO0jGAqkPx7C,pop,indie poptimism,0.726,0.444,8.0,-8.922,0.0,0.372,0.283,0.143,0.177,0.569,185.044,168840.0
All Time Low,Jon Bellion,16,253,2016-10-28,590,1,all time low_jon bellion,0SuLAslEMFZAXf0SwY7syi,All Time Low,Jon Bellion,73.0,2jJReDZqTuAxr4R0ItimZc,The Human Condition,2016-06-10,A Loose Definition of Indie Poptimism,4ZO0wp9G8FA3X6oYNBzda6,pop,indie poptimism,0.617,0.567,0.0,-4.188,1.0,0.0828,0.0584,0.0,0.0933,0.505,90.246,217603.0
Alone,Marshmello,28,66,2016-11-04,204,1,alone_marshmello,12mGwph2YzDIlChtq3EdXP,Alone,Marshmello,20.0,2v4Crisjd4sT782Jvn7ISC,Alone,2016-05-13,Epic Bass Drops,49EXQVXh5k1t8SOhmUeyU7,edm,big room,0.636,0.953,2.0,-3.74,1.0,0.0353,0.0244,0.0164,0.108,0.397,142.011,273803.0
Alone Together,Fall Out Boy,71,36,2013-12-13,101,0,alone together_fall out boy,5MsZIaCYY6Tsdph0LiB0hE,Alone Together,Fall Out Boy,60.0,0EVJX4RlYKuApsAN5CaDa3,Save Rock And Roll,2013-01-01,Dr. Q's Prescription Playlist💊,6jAPdgY9XmxC9cgkXAVmVv,pop,post-teen pop,0.552,0.915,4.0,-3.713,1.0,0.0559,0.0013,3.74e-05,0.206,0.606,90.013,203413.0
Amor Genuino,Ozuna,92,1,2019-06-21,10,0,amor genuino_ozuna,6pK5edDoyrn4mWwRSVc2a5,Amor Genuino,Ozuna,59.0,1YlOaWSAKVR6BcnSvV9qfh,Amor Genuino,2019-06-04,LATIN POP 2020 🔥 Pop latino actual,2kKzN3kRYDzBctlaWs7CP2,latin,latin pop,0.442,0.445,10.0,-4.071,0.0,0.0381,0.653,0.0,0.118,0.423,85.744,179937.0
Anaconda,Nicki Minaj,2,253,2014-08-22,604,1,anaconda_nicki minaj,5eqiMMbaeUZ32Q7sS00H35,Anaconda,Nicki Minaj,66.0,40XGTQ7FN6Y3dZXJhKBe96,The Pinkprint (International Deluxe Explicit),2014-12-15,◤ Hip Hop Dance Music – Urban – Trap – Breaking Locking Popping Bopping – WOD – World of Dance,0Hr2h94pKN8QAGVAgD6BsD,rap,southern hip hop,0.964,0.605,9.0,-6.223,1.0,0.179,0.0668,7.78e-06,0.214,0.646,129.994,260240.0
Angel,Akon,56,55,2010-10-08,154,1,angel_akon,6LBcHFbzmKSgGjZapRE2B5,Angel,Akon,53.0,3m1Nxg2YS7QIs0v428yNLP,Angel,2010-01-01,Pop 2009-2011,3gV6KQYZKIuoWml0094vx6,latin,latin hip hop,0.565,0.867,2.0,-2.503,1.0,0.0318,0.0571,0.0,0.177,0.325,125.867,215227.0
Animal,Neon Trees,13,666,2010-06-18,1419,1,animal_neon trees,1fBl642IhJOE5U319Gy2Go,Animal,Neon Trees,68.0,7xpjpdislqMXOCw5xsDt4g,Habits,2010-01-01,Dr. Q's Prescription Playlist💊,6jAPdgY9XmxC9cgkXAVmVv,pop,post-teen pop,0.482,0.833,5.0,-5.611,1.0,0.0449,0.000346,0.0,0.365,0.74,148.039,212293.0
Animals,Maroon 5,3,561,2014-09-05,1219,1,animals_maroon 5,2bL2gyO6kBdLkNSkxXNh6x,Animals,Maroon 5,75.0,2Auw0pTT6EcQdvHNimhLQI,V,2015-05-15,2015 songs,6UJw1egIcZVfrBmcKs5uHH,edm,pop edm,0.279,0.742,4.0,-6.46,0.0,0.0898,0.000185,0.0,0.593,0.328,189.868,231013.0
Animals,Martin Garrix,21,595,2013-10-04,1269,1,animals_martin garrix,1xMLthTaWJieT9YGV1hyS5,Animals,Martin Garrix,36.0,4EV2HGPHQpUu4cPxJTP0OT,Gold Skies,2014-07-01,Big Room House | Festival Bangers,5Bx5niVgi3qGQQw06C0RKq,edm,big room,0.676,0.865,1.0,-6.381,1.0,0.0389,0.00105,0.648,0.382,0.0372,128.006,303773.0
Antidote,Travis Scott,16,351,2015-09-25,786,1,antidote_travis scott,1wHZx0LgzFHyeIZkUydNXq,Antidote,Travis Scott,77.0,4PWBTB6NYSKQwfo79I3prg,Rodeo (Expanded Edition),2015-09-04,Hip Hop Controller,37i9dQZF1DWT5MrZnPU1zD,rap,hip hop,0.713,0.526,1.0,-5.046,1.0,0.032,0.00767,0.000148,0.124,0.131,131.05,262693.0
Anything Could Happen,Ellie Goulding,47,210,2012-10-26,473,1,anything could happen_ellie goulding,7C7yqFTM0ncyJ04GIKrxdV,Anything Could Happen,Ellie Goulding,57.0,4754Cgv1sdfwTpdVX83xAC,Halcyon,2012-01-01,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.702,0.781,0.0,-4.081,1.0,0.03,0.433,0.0,0.135,0.382,102.997,286322.0
Apparently,J. Cole,58,136,2015-01-02,314,1,apparently_j cole,1HNs07uZxZniPNmniw2GTa,Apparently,J. Cole,69.0,7viNUmZZ8ztn2UB4XB3jIL,2014 Forest Hills Drive,2014-12-09,Smooth Hip Hop,7ozFIvz1bE1HPgQTUl5qfT,r&b,hip pop,0.801,0.543,5.0,-9.236,1.0,0.091,0.564,0.0,0.116,0.534,133.982,293040.0
Applause,Lady Gaga,4,276,2013-08-30,648,1,applause_lady gaga,5ka2ajep9OAvU5Sgduhiex,Applause,Lady Gaga,70.0,2eRJUtI7nXrQ5uYQ7tzTo9,ARTPOP,2013-11-11,"post-teen alternative, indie, pop (large variety)",1y42gwI5cuwjBslPyQNfqb,pop,post-teen pop,0.669,0.78,7.0,-4.287,0.0,0.053,0.0265,1.63e-06,0.143,0.738,139.945,212333.0
Astronaut In The Ocean,Masked Wolf,6,406,2021-02-26,906,1,astronaut in the ocean_masked wolf,0jdso14vaFnpRazMLEZovF,Astronaut In The Ocean,Masked Wolf,56.0,023KmMyB2DNZR3V8YKoET9,Astronaut In The Ocean,2019-06-07,A1 Hip-Hop,37i9dQZF1DX0sDai2F5jCQ,rap,hip hop,0.778,0.695,4.0,-6.865,0.0,0.0913,0.174,0.0,0.151,0.472,149.996,132780.0
Attention,Charlie Puth,5,785,2017-05-12,1665,1,attention_charlie puth,5cF0dROlMOK5uNZtivgu50,Attention,Charlie Puth,82.0,0mZIUXje90JtHxPNzWsJNR,Voicenotes,2018-05-11,Post Teen Pop,2Aud8PXoTGcyY5esHu4Aaz,pop,post-teen pop,0.775,0.613,3.0,-4.586,0.0,0.0542,0.109,2.33e-05,0.134,0.797,100.066,208787.0
BOP,DaBaby,11,465,2019-10-11,1019,1,bop_dababy,6Ozh9Ok6h4Oi1wUSLtBseN,BOP,DaBaby,93.0,1NsTSXjVNE7XmZ8PmyW0wl,KIRK,2019-09-27,GTA San Andreas Radio Los Santos,6m0BqpJfSP2m5xCOFjDRHw,rap,gangster rap,0.769,0.787,11.0,-3.909,1.0,0.367,0.189,0.0,0.129,0.836,126.77,159715.0
Babushka Boi,A$AP Rocky,69,1,2019-09-13,33,0,babushka boi_aap rocky,643PW82aBMUa1FiWi5VQY7,Babushka Boi,A$AP Rocky,77.0,3zOkSAbg9o7gQ3yXtZhx5v,Babushka Boi,2019-08-28,A1 Hip-Hop,37i9dQZF1DX0sDai2F5jCQ,rap,hip hop,0.897,0.743,10.0,-5.446,0.0,0.222,0.304,4.44e-05,0.137,0.905,134.979,187105.0
Back To Back,Drake,21,210,2015-08-21,499,1,back to back_drake,5lFDtgWsjRJu8fPOAyJIAK,Back To Back,Drake,69.0,79qV4McLzhs8U3FyRKnocz,Back To Back,2015-07-31,Hip Hop Controller,37i9dQZF1DWT5MrZnPU1zD,rap,hip hop,0.893,0.48,1.0,-3.728,0.0,0.356,0.00854,0.0,0.116,0.382,86.976,170638.0
Bad At Love,Halsey,5,545,2017-09-22,1185,1,bad at love_halsey,7y9iMe8SOB6z3NoHE2OfXl,Bad At Love,Halsey,77.0,7GjG91tyHQNGEHzKJaqOi0,hopeless fountain kingdom (Deluxe),2017-06-02,indie poptimism🕺🏻,6MQeEHHDs6HQkN5Dlj3oKo,pop,indie poptimism,0.675,0.751,0.0,-3.539,1.0,0.0296,0.0604,0.0,0.0893,0.612,118.384,181279.0
Bad Guy,Billie Eilish,1,1225,2019-04-12,2549,1,bad guy_billie eilish,2Fxmhks0bxGSBdJ92vM42m,bad guy,Billie Eilish,95.0,0S0KGZnfBGSIssfF54WSJh,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,Feeling Accomplished,37i9dQZF1DWTDafB3skWPN,r&b,hip pop,0.701,0.425,7.0,-10.965,1.0,0.375,0.328,0.13,0.1,0.562,135.128,194088.0
Bad Liar,Imagine Dragons,56,45,2018-11-23,134,1,bad liar_imagine dragons,2RSHsoi04658QL5xgQVov3,Bad Liar,Imagine Dragons,83.0,3JfSxDfmwS5OeHPwLSkrfr,Origins (Deluxe),2018-11-09,indie poptimism🕺🏻,6MQeEHHDs6HQkN5Dlj3oKo,pop,indie poptimism,0.383,0.637,3.0,-6.993,1.0,0.0703,0.0722,0.0,0.368,0.0827,177.913,260773.0
Bad Liar,Selena Gomez,20,105,2017-06-02,290,1,bad liar_selena gomez,2fZQIJew3nkNe99s2PKzul,Bad Liar,Selena Gomez,73.0,1iuzMKNzVo8HJ67eW32YMr,Bad Liar,2017-05-18,Post pop teen,222nc9tKxKhfZ2GBrOpwH3,pop,post-teen pop,0.965,0.414,1.0,-6.408,1.0,0.0713,0.189,0.0,0.0767,0.728,121.032,214648.0
Bank Account,21 Savage,12,411,2017-07-28,910,1,bank account_21 savage,2fQrGHiQOvpL9UgPvtYy6G,Bank Account,21 Savage,80.0,4QUNWTw2FsIz722xjUjFJw,Issa Album,2017-09-23,Hip Hop Controller,37i9dQZF1DWT5MrZnPU1zD,rap,hip hop,0.884,0.346,8.0,-8.228,0.0,0.351,0.0151,7.04e-06,0.0871,0.376,75.016,220307.0
Barbie Tingz,Nicki Minaj,25,10,2018-04-20,95,0,barbie tingz_nicki minaj,2qsQ8eVDPmobZpvDxQCVQu,Barbie Tingz,Nicki Minaj,65.0,0cjXPqSbbBhwSJiqkoyviO,Barbie Tingz,2018-04-12,Feeling Accomplished,37i9dQZF1DWTDafB3skWPN,r&b,hip pop,0.917,0.679,6.0,-6.083,1.0,0.266,0.0867,0.0,0.588,0.453,102.449,191700.0
Be Alright,Ariana Grande,43,1,2016-04-08,59,0,be alright_ariana grande,6f5TuB9WtbA1g49A4DcMQ4,Be Alright,Ariana Grande,70.0,3OZgEywV4krCZ814pTJWr7,Dangerous Woman,2016-05-20,Groovy // Funky // Neo-Soul,0JmBB9HfrzDiZoPVRdv8ns,r&b,neo soul,0.813,0.456,1.0,-7.667,0.0,0.0685,0.169,2.85e-06,0.105,0.587,108.801,179293.0
Be Alright,Dean Lewis,23,435,2018-11-09,947,1,be alright_dean lewis,3EPXxR3ImUwfayaurPi3cm,Be Alright,Dean Lewis,83.0,0YZLXTaHLcgl5UdtKDiUXD,Be Alright,2018-06-29,urban contemporary,4WiB26kw0INKwbzfb5M6Tv,r&b,urban contemporary,0.553,0.586,11.0,-6.319,1.0,0.0362,0.697,0.0,0.0813,0.443,126.684,196373.0
Before You Go,Lewis Capaldi,9,1378,2020-02-07,2847,1,before you go_lewis capaldi,7ce20yLkzuXXLUhzIDoZih,Before You Go,Lewis Capaldi,90.0,0488X5veBK6t3vSmIiTDJY,Before You Go,2019-11-19,Pop Hits 2020,5TDtuKDbOhrfW7C58XnriZ,r&b,hip pop,0.459,0.575,3.0,-4.858,1.0,0.0573,0.604,0.0,0.0885,0.183,111.881,215107.0
Believer,Imagine Dragons,4,1332,2017-02-24,2760,1,believer_imagine dragons,0pqnGHJpmpxLKifKRmU6WP,Believer,Imagine Dragons,88.0,33pt9HBdGlAbRGBHQgsZsU,Evolve,2017-06-23,School Dance 2019 (Squeaky Clean),0SqaMfNsngZCpPw0UuelA7,latin,latin hip hop,0.776,0.78,10.0,-4.374,0.0,0.128,0.0622,0.0,0.081,0.666,124.949,204347.0
Best Day Of My Life,American Authors,11,666,2013-11-29,1421,1,best day of my life_american authors,5Hroj5K7vLpIG4FNCRIjbP,Best Day Of My Life,American Authors,76.0,0V4laGZGshNCpurfIdUhHv,"Oh, What A Life",2014-01-01,Today's Hits 2000-Present,6a66cg3HcsjYkisYyQcov6,latin,latin hip hop,0.673,0.902,2.0,-2.392,1.0,0.0346,0.0591,0.000262,0.0558,0.538,100.012,194240.0
Best Friend,Young Thug,45,210,2015-12-11,475,1,best friend_young thug,33JcUj9qQDayKswunZP9ar,Best Friend,Young Thug,65.0,4YqXHbPtEXINS3CBtKfCyO,Best Friend,2015-11-20,◤ Hip Hop Dance Music – Urban – Trap – Breaking Locking Popping Bopping – WOD – World of Dance,0Hr2h94pKN8QAGVAgD6BsD,rap,southern hip hop,0.959,0.598,8.0,-5.534,1.0,0.0713,0.0358,0.0,0.358,0.408,127.029,213000.0
Best Song Ever,One Direction,2,231,2013-08-09,560,1,best song ever_one direction,5T7ZFtCcOgkpjxcuaeZbw0,Best Song Ever,One Direction,72.0,7p1fX8aUySrBdx4WSYspOu,Midnight Memories (Deluxe),2013-11-25,Post pop teen,222nc9tKxKhfZ2GBrOpwH3,pop,post-teen pop,0.652,0.877,1.0,-2.986,1.0,0.0465,0.0227,0.0,0.0789,0.486,118.491,200107.0
Betrayed,Lil Xan,64,204,2017-12-01,444,1,betrayed_lil xan,4vaxvNDaLSoD36iZX515ug,Betrayed,Lil Xan,75.0,2wmmYoAC48iNSTdU5Iwg6H,TOTAL XANARCHY,2018-04-06,Sad Trap,7kzKtw5vug3IIxKfLadi8A,rap,trap,0.821,0.434,10.0,-9.194,0.0,0.118,0.434,0.0,0.128,0.241,120.012,187173.0
Better,Khalid,8,1176,2018-09-28,2444,1,better_khalid,6zeeWid2sgw4lap2jV61PZ,Better,Khalid,81.0,2Qxc2NJ7yPKVFRWi3llRr2,Suncity,2018-10-18,Hip pop,1Sc7bobknESH7SXQcnmoX5,r&b,hip pop,0.596,0.552,0.0,-10.278,0.0,0.097,0.0765,0.334,0.104,0.112,97.949,229320.0
