Date,Rank,Title,Artist,Peak Position,Weeks on Chart
2017-12-29,35,It's The Most Wonderful Time Of The Year,Andy Williams,35,3
2017-12-29,36,Sky Walker,Miguel Featuring Travis Scott,35,12
2017-12-29,37,...Ready For It?,Taylor Swift,4,15
2017-12-29,38,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",38,10
2017-12-29,39,The Weekend,SZA,37,20
2017-12-29,40,Unforgettable,French Montana Featuring Swae Lee,3,36
2017-12-29,41,A Holly Jolly Christmas,Burl Ives,41,3
2017-12-29,42,Attention,Charlie Puth,5,34
2017-12-29,43,That's What I Like,Bruno Mars,1,48
2017-12-29,44,Last Christmas,Wham!,41,3
2017-12-29,45,Ric Flair Drip,Offset & Metro Boomin,44,7
2017-12-29,46,Plain Jane,A$AP Ferg Featuring Nicki Minaj,41,12
2017-12-29,47,Humble.,Kendrick Lamar,1,37
2017-12-29,48,There's Nothing Holdin' Me Back,Shawn Mendes,6,34
2017-12-29,49,End Game,Taylor Swift Featuring Ed Sheeran & Future,39,4
2017-12-29,50,Kooda,6ix9ine,50,2
2017-12-29,51,Roll In Peace,Kodak Black Featuring XXXTENTACION,51,17
2017-12-29,52,Greatest Love Story,LANCO,45,15
2017-12-29,53,Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",46,14
2017-12-29,54,Like I Loved You,Brett Young,54,12
2017-12-29,55,Rubbin Off The Paint,YBN Nahmir,46,6
2017-12-29,56,Let Me Go,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,53,12
2017-12-29,57,What About Us,P!nk,13,19
2017-12-29,58,Lemon,N*E*R*D & Rihanna,58,6
2017-12-29,59,Lights Down Low,MAX Featuring gnash,59,10
2017-12-29,60,I'll Name The Dogs,Blake Shelton,58,14
2017-12-29,61,Never Be The Same,Camila Cabello,61,1
2017-12-29,62,Candy Paint,Post Malone,59,8
2017-12-29,63,Codeine Dreaming,Kodak Black Featuring Lil Wayne,52,3
2017-12-29,64,Good Old Days,Macklemore Featuring Kesha,64,8
2017-12-29,65,Light It Up,Luke Bryan,57,16
2017-12-29,66,Yours,Russell Dickerson,66,9
2017-12-29,67,Go Legend,Big Sean & Metro Boomin Featuring Travis Scott,67,1
2017-12-29,68,When It Rains It Pours,Luke Combs,33,20
2017-12-29,69,Round Here Buzz,Eric Church,68,12
2017-12-29,70,Look What You Made Me Do,Taylor Swift,1,17
2017-12-29,71,Unforgettable,Thomas Rhett,47,20
2017-12-29,72,Dark Knight Dummo,Trippie Redd Featuring Travis Scott,72,1
2017-12-29,73,Betrayed,Lil Xan,67,5
2017-12-29,74,Losing Sleep,Chris Young,63,12
2017-12-29,75,Echame La Culpa,Luis Fonsi & Demi Lovato,47,4
2017-12-29,76,Pick It Up,Famous Dex Featuring A$AP Rocky,73,5
2017-12-29,77,My Dawg,Lil Baby,77,1
2017-12-29,78,I Could Use A Love Song,Maren Morris,75,17
2017-12-29,79,MIC Drop,BTS Featuring Desiigner,28,3
2017-12-29,80,Pull Up N Wreck,Big Sean & Metro Boomin Featuring 21 Savage,80,2
2017-12-29,81,Tell Me You Love Me,Demi Lovato,53,3
2017-12-29,82,Danger,Migos & Marshmello,82,1
2017-12-29,83,You Broke Up With Me,Walker Hayes,83,8
2017-12-29,84,Wanted You,NAV Featuring Lil Uzi Vert,64,5
2017-12-29,85,Dusk Till Dawn,Zayn Featuring Sia,44,14
2017-12-29,86,Untouchable,Eminem,86,1
2017-12-29,87,Mayores,Becky G Featuring Bad Bunny,74,8
2017-12-29,88,F**k Love,XXXTENTACION Featuring Trippie Redd,41,16
2017-12-29,89,Written In The Sand,Old Dominion,88,4
2017-12-29,90,Ghostface Killers,"21 Savage, Offset & Metro Boomin Featuring Travis Scott",35,7
2017-12-29,91,Too Much To Ask,Niall Horan,66,8
2017-12-29,92,Marry Me,Thomas Rhett,92,2
2017-12-29,93,No Smoke,YoungBoy Never Broke Again,93,2
2017-12-29,94,When We,Tank,86,4
2017-12-29,95,Five More Minutes,Scotty McCreery,95,2
2017-12-29,96,Juice,Yo Gotti,93,2
2017-12-29,97,All On Me,Devin Dawson,91,4
2017-12-29,98,Jocelyn Flores,XXXTENTACION,31,16
2017-12-29,99,Legends,Kelsea Ballerini,98,2
2017-12-29,100,Faking It,Calvin Harris Featuring Kehlani & Lil Yachty,94,4
2018-01-05,1,Perfect,Ed Sheeran,1,18
2018-01-05,2,Rockstar,Post Malone Featuring 21 Savage,1,15
2018-01-05,3,Havana,Camila Cabello Featuring Young Thug,2,20
2018-01-05,4,No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,4,16
2018-01-05,5,Thunder,Imagine Dragons,4,35
2018-01-05,6,Gucci Gang,Lil Pump,3,16
2018-01-05,7,MotorSport,"Migos, Nicki Minaj & Cardi B",6,9
2018-01-05,8,Too Good At Goodbyes,Sam Smith,4,16
2018-01-05,9,Bad At Love,Halsey,8,17
2018-01-05,10,Bodak Yellow (Money Moves),Cardi B,1,26
2018-01-05,11,Love.,Kendrick Lamar Featuring Zacari,11,27
2018-01-05,12,New Rules,Dua Lipa,12,22
2018-01-05,13,All I Want For Christmas Is You,Mariah Carey,9,24
2018-01-05,14,Bartier Cardi,Cardi B Featuring 21 Savage,14,1
2018-01-05,15,Gummo,6ix9ine,12,7
2018-01-05,16,I Fall Apart,Post Malone,16,14
2018-01-05,17,Let You Down,NF,16,11
2018-01-05,18,Young Dumb & Broke,Khalid,18,24
2018-01-05,19,Shape Of You,Ed Sheeran,1,51
2018-01-05,20,Sorry Not Sorry,Demi Lovato,6,25
2018-01-05,21,What Lovers Do,Maroon 5 Featuring SZA,9,18
2018-01-05,22,I Get The Bag,Gucci Mane Featuring Migos,11,19
2018-01-05,23,Feel It Still,Portugal. The Man,4,28
2018-01-05,24,Him & I,G-Eazy & Halsey,15,4
2018-01-05,25,Believer,Imagine Dragons,4,47
2018-01-05,26,Meant To Be,Bebe Rexha & Florida Georgia Line,26,10
2018-01-05,27,How Long,Charlie Puth,26,12
2018-01-05,28,Bank Account,21 Savage,12,25
2018-01-05,29,Wolves,Selena Gomez X Marshmello,20,10
2018-01-05,30,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,1,50
2018-01-05,31,Plain Jane,A$AP Ferg Featuring Nicki Minaj,26,14
2018-01-05,32,Mi Gente,J Balvin & Willy William Featuring Beyonce,3,26
2018-01-05,33,The Weekend,SZA,29,22
2018-01-05,34,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,3,35
2018-01-05,35,The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,24,18
2018-01-05,36,Rockin' Around The Christmas Tree,Brenda Lee,14,22
2018-01-05,37,That's What I Like,Bruno Mars,1,50
2018-01-05,38,It's The Most Wonderful Time Of The Year,Andy Williams,32,5
2018-01-05,39,Attention,Charlie Puth,5,36
2018-01-05,40,End Game,Taylor Swift Featuring Ed Sheeran & Future,39,6
2018-01-05,41,Sky Walker,Miguel Featuring Travis Scott,35,14
2018-01-05,42,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",37,12
2018-01-05,43,River,Eminem Featuring Ed Sheeran,11,2
2018-01-05,44,Silence,Marshmello Featuring Khalid,30,20
2018-01-05,45,Marry Me,Thomas Rhett,45,4
2018-01-05,46,A Holly Jolly Christmas,Burl Ives,38,5
2018-01-05,47,Unforgettable,French Montana Featuring Swae Lee,3,38
2018-01-05,48,What About Us,P!nk,13,21
2018-01-05,49,Lemon,N*E*R*D & Rihanna,46,8
2018-01-05,50,Candy Paint,Post Malone,50,10
2018-01-05,51,Roll In Peace,Kodak Black Featuring XXXTENTACION,51,19
2018-01-05,52,La Modelo,Ozuna x Cardi B,52,1
2018-01-05,53,Ric Flair Drip,Offset & Metro Boomin,44,9
2018-01-05,54,Lights Down Low,MAX Featuring gnash,54,12
2018-01-05,55,Let Me Go,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,52,14
2018-01-05,56,Like I Loved You,Brett Young,54,14
2018-01-05,57,Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",46,16
2018-01-05,58,Greatest Love Story,LANCO,45,17
2018-01-05,59,Rubbin Off The Paint,YBN Nahmir,46,8
2018-01-05,60,Good Old Days,Macklemore Featuring Kesha,60,10
2018-01-05,61,...Ready For It?,Taylor Swift,4,17
2018-01-05,62,Yours,Russell Dickerson,62,11
2018-01-05,63,I'll Name The Dogs,Blake Shelton,58,16
2018-01-05,64,The Race,Tay-K,44,20
2018-01-05,65,Eye 2 Eye,Huncho Jack Featuring Takeoff,65,1
2018-01-05,66,Look What You Made Me Do,Taylor Swift,1,19
2018-01-05,67,Kooda,6ix9ine,50,4
2018-01-05,68,Modern Slavery,Huncho Jack,68,1
2018-01-05,69,Thunder/Young Dumb & Broke (Medley),Imagine Dragons + Khalid,69,1
2018-01-05,70,Codeine Dreaming,Kodak Black Featuring Lil Wayne,52,5
2018-01-05,71,Black & Chinese,Huncho Jack,71,1
2018-01-05,72,Round Here Buzz,Eric Church,68,14
2018-01-05,73,Light It Up,Luke Bryan,57,18
2018-01-05,74,Echame La Culpa,Luis Fonsi & Demi Lovato,47,6
2018-01-05,75,Betrayed,Lil Xan,67,7
2018-01-05,76,Losing Sleep,Chris Young,63,14
2018-01-05,77,No Smoke,YoungBoy Never Broke Again,77,4
2018-01-05,78,Tell Me You Love Me,Demi Lovato,53,5
2018-01-05,79,You Broke Up With Me,Walker Hayes,79,10
2018-01-05,80,Ice Tray,Quavo & Lil Yachty,80,2
2018-01-05,81,I Could Use A Love Song,Maren Morris,75,19
2018-01-05,82,MIC Drop,BTS Featuring Desiigner,28,5
2018-01-05,83,Dubai Shit,Huncho Jack Featuring Offset,83,1
2018-01-05,84,My Dawg,Lil Baby,71,3
2018-01-05,85,Pick It Up,Famous Dex Featuring A$AP Rocky,73,7
2018-01-05,86,Written In The Sand,Old Dominion,86,6
2018-01-05,87,Huncho Jack,Huncho Jack,87,1
2018-01-05,88,Krippy Kush,"Farruko, Nicki Minaj, Bad Bunny, 21 Savage & Rvssian",85,3
2018-01-05,89,Five More Minutes,Scotty McCreery,89,4
2018-01-05,90,Motorcycle Patches,Huncho Jack,90,1
2018-01-05,91,Mayores,Becky G Featuring Bad Bunny,74,10
2018-01-05,92,Saint,Huncho Jack,92,1
2018-01-05,93,Walk On Water,Eminem Featuring Beyonce,14,5
2018-01-05,94,Stir Fry,Migos,94,1
2018-01-05,95,Home,"Machine Gun Kelly, X Ambassadors & Bebe Rexha",90,3
2018-01-05,96,F**k Love,XXXTENTACION Featuring Trippie Redd,41,18
2018-01-05,97,Legends,Kelsea Ballerini,97,4
2018-01-05,98,Too Much To Ask,Niall Horan,66,10
2018-01-05,99,Dusk Till Dawn,Zayn Featuring Sia,44,16
2018-01-05,100,Juice,Yo Gotti,93,4
2018-01-12,1,Perfect,Ed Sheeran,1,19
2018-01-12,2,Havana,Camila Cabello Featuring Young Thug,2,21
2018-01-12,3,Rockstar,Post Malone Featuring 21 Savage,1,16
2018-01-12,4,Thunder,Imagine Dragons,4,36
2018-01-12,5,No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,4,17
2018-01-12,6,Bad At Love,Halsey,6,18
2018-01-12,7,Too Good At Goodbyes,Sam Smith,4,17
2018-01-12,8,MotorSport,"Migos, Nicki Minaj & Cardi B",6,10
2018-01-12,9,Gucci Gang,Lil Pump,3,17
2018-01-12,10,Bodak Yellow (Money Moves),Cardi B,1,27
2018-01-12,11,New Rules,Dua Lipa,11,23
2018-01-12,12,Feel It Still,Portugal. The Man,4,29
2018-01-12,13,Shape Of You,Ed Sheeran,1,52
2018-01-12,14,Love.,Kendrick Lamar Featuring Zacari,11,28
2018-01-12,15,Sorry Not Sorry,Demi Lovato,6,26
2018-01-12,16,Believer,Imagine Dragons,4,48
2018-01-12,17,Him & I,G-Eazy & Halsey,15,5
2018-01-12,18,Let You Down,NF,16,12
2018-01-12,19,Bartier Cardi,Cardi B Featuring 21 Savage,14,2
2018-01-12,20,Gummo,6ix9ine,12,8
2018-01-12,21,What Lovers Do,Maroon 5 Featuring SZA,9,19
2018-01-12,22,Young Dumb & Broke,Khalid,18,25
2018-01-12,23,I Fall Apart,Post Malone,16,15
2018-01-12,24,Meant To Be,Bebe Rexha & Florida Georgia Line,24,11
2018-01-12,25,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,1,51
2018-01-12,26,I Get The Bag,Gucci Mane Featuring Migos,11,20
2018-01-12,27,How Long,Charlie Puth,26,13
2018-01-12,28,Wolves,Selena Gomez X Marshmello,20,11
2018-01-12,29,Bank Account,21 Savage,12,26
2018-01-12,30,Mi Gente,J Balvin & Willy William Featuring Beyonce,3,27
2018-01-12,31,Plain Jane,A$AP Ferg Featuring Nicki Minaj,26,15
2018-01-12,32,That's What I Like,Bruno Mars,1,51
2018-01-12,33,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,3,36
2018-01-12,34,Attention,Charlie Puth,5,37
2018-01-12,35,Finesse,Bruno Mars & Cardi B,35,1
2018-01-12,36,The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,24,19
2018-01-12,37,The Weekend,SZA,29,23
2018-01-12,38,Sky Walker,Miguel Featuring Travis Scott,35,15
2018-01-12,39,End Game,Taylor Swift Featuring Ed Sheeran & Future,39,7
2018-01-12,40,Let Me Go,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,40,15
2018-01-12,41,Silence,Marshmello Featuring Khalid,30,21
2018-01-12,42,Unforgettable,French Montana Featuring Swae Lee,3,39
2018-01-12,43,What About Us,P!nk,13,22
2018-01-12,44,Marry Me,Thomas Rhett,44,5
2018-01-12,45,River,Eminem Featuring Ed Sheeran,11,3
2018-01-12,46,Like I Loved You,Brett Young,46,15
2018-01-12,47,Roll In Peace,Kodak Black Featuring XXXTENTACION,47,20
2018-01-12,48,Lemon,N*E*R*D & Rihanna,46,9
2018-01-12,49,Ric Flair Drip,Offset & Metro Boomin,44,10
2018-01-12,50,Lights Down Low,MAX Featuring gnash,50,13
2018-01-12,51,Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",46,17
2018-01-12,52,Yours,Russell Dickerson,52,12
2018-01-12,53,Greatest Love Story,LANCO,45,18
2018-01-12,54,Good Old Days,Macklemore Featuring Kesha,54,11
2018-01-12,55,Look What You Made Me Do,Taylor Swift,1,20
2018-01-12,56,I'll Name The Dogs,Blake Shelton,56,17
2018-01-12,57,Round Here Buzz,Eric Church,57,15
2018-01-12,58,...Ready For It?,Taylor Swift,4,18
2018-01-12,59,Candy Paint,Post Malone,50,11
2018-01-12,60,Rubbin Off The Paint,YBN Nahmir,46,9
2018-01-12,61,La Modelo,Ozuna x Cardi B,52,2
2018-01-12,62,I Could Use A Love Song,Maren Morris,62,20
2018-01-12,63,Losing Sleep,Chris Young,63,15
2018-01-12,64,Echame La Culpa,Luis Fonsi & Demi Lovato,47,7
2018-01-12,65,Codeine Dreaming,Kodak Black Featuring Lil Wayne,52,6
2018-01-12,66,MIC Drop,BTS Featuring Desiigner,28,6
2018-01-12,67,You Broke Up With Me,Walker Hayes,67,11
2018-01-12,68,Kooda,6ix9ine,50,5
2018-01-12,69,Light It Up,Luke Bryan,57,19
2018-01-12,70,Written In The Sand,Old Dominion,70,7
2018-01-12,71,Never Be The Same,Camila Cabello,61,3
2018-01-12,72,Tell Me You Love Me,Demi Lovato,53,6
2018-01-12,73,No Smoke,YoungBoy Never Broke Again,73,5
2018-01-12,74,Ice Tray,Quavo & Lil Yachty,74,3
2018-01-12,75,Krippy Kush,"Farruko, Nicki Minaj, Bad Bunny, 21 Savage & Rvssian",75,4
2018-01-12,76,Betrayed,Lil Xan,67,8
2018-01-12,77,Pick It Up,Famous Dex Featuring A$AP Rocky,73,8
2018-01-12,78,Five More Minutes,Scotty McCreery,78,5
2018-01-12,79,Legends,Kelsea Ballerini,79,5
2018-01-12,80,One Foot,WALK THE MOON,80,1
2018-01-12,81,Mayores,Becky G Featuring Bad Bunny,74,11
2018-01-12,82,Heaven,Kane Brown,72,2
2018-01-12,83,This Is Me,Keala Settle & The Greatest Showman Ensemble,83,1
2018-01-12,84,My Dawg,Lil Baby,71,4
2018-01-12,85,Rewrite The Stars,Zac Efron & Zendaya,85,1
2018-01-12,86,Too Much To Ask,Niall Horan,66,11
2018-01-12,87,All On Me,Devin Dawson,87,6
2018-01-12,88,Never Enough,Loren Allred,88,1
2018-01-12,89,Stir Fry,Migos,89,2
2018-01-12,90,Juice,Yo Gotti,90,5
2018-01-12,91,Broken Halos,Chris Stapleton,90,6
2018-01-12,92,Corazon,Maluma X Nego do Borel,92,1
2018-01-12,93,Female,Keith Urban,69,2
2018-01-12,94,Dusk Till Dawn,Zayn Featuring Sia,44,17
2018-01-12,95,The Greatest Show,"Hugh Jackman, Keala Settle, Zac Efron, Zendaya & The Greatest Showman Ensemble",95,1
2018-01-12,96,When We,Tank,86,6
2018-01-12,97,Wanted You,NAV Featuring Lil Uzi Vert,64,7
2018-01-12,98,F**k Love,XXXTENTACION Featuring Trippie Redd,41,19
2018-01-12,99,Home,"Machine Gun Kelly, X Ambassadors & Bebe Rexha",90,4
2018-01-12,100,Best Friend,"Sofi Tukker Featuring NERVO, The Knocks & Alisa Ueno",100,1
2018-01-19,1,Perfect,Ed Sheeran,1,20
2018-01-19,2,Havana,Camila Cabello Featuring Young Thug,2,22
2018-01-19,3,Finesse,Bruno Mars & Cardi B,3,2
2018-01-19,4,Rockstar,Post Malone Featuring 21 Savage,1,17
2018-01-19,5,No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,4,18
2018-01-19,6,Thunder,Imagine Dragons,4,37
2018-01-19,7,Bad At Love,Halsey,6,19
2018-01-19,8,Too Good At Goodbyes,Sam Smith,4,18
2018-01-19,9,Filthy,Justin Timberlake,9,1
2018-01-19,10,MotorSport,"Migos, Nicki Minaj & Cardi B",6,11
2018-01-19,11,New Rules,Dua Lipa,11,24
2018-01-19,12,Gucci Gang,Lil Pump,3,18
2018-01-19,13,Love.,Kendrick Lamar Featuring Zacari,11,29
2018-01-19,14,Bartier Cardi,Cardi B Featuring 21 Savage,14,3
2018-01-19,15,Let You Down,NF,15,13
2018-01-19,16,Him & I,G-Eazy & Halsey,15,6
2018-01-19,17,Bodak Yellow (Money Moves),Cardi B,1,28
2018-01-19,18,Meant To Be,Bebe Rexha & Florida Georgia Line,18,12
2018-01-19,19,Gummo,6ix9ine,12,9
2018-01-19,20,Feel It Still,Portugal. The Man,4,30
2018-01-19,21,Sorry Not Sorry,Demi Lovato,6,27
2018-01-19,22,Shape Of You,Ed Sheeran,1,53
2018-01-19,23,How Long,Charlie Puth,23,14
2018-01-19,24,Wolves,Selena Gomez X Marshmello,20,12
2018-01-19,25,I Get The Bag,Gucci Mane Featuring Migos,11,21
2018-01-19,26,I Fall Apart,Post Malone,16,16
2018-01-19,27,What Lovers Do,Maroon 5 Featuring SZA,9,20
2018-01-19,28,Young Dumb & Broke,Khalid,18,26
2018-01-19,29,Plain Jane,A$AP Ferg Featuring Nicki Minaj,26,16
2018-01-19,30,Believer,Imagine Dragons,4,49
2018-01-19,31,Sky Walker,Miguel Featuring Travis Scott,31,16
2018-01-19,32,River,Eminem Featuring Ed Sheeran,11,4
2018-01-19,33,The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,24,20
2018-01-19,34,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,1,52
2018-01-19,35,Mi Gente,J Balvin & Willy William Featuring Beyonce,3,28
2018-01-19,36,End Game,Taylor Swift Featuring Ed Sheeran & Future,36,8
2018-01-19,37,Bank Account,21 Savage,12,27
2018-01-19,38,That's What I Like,Bruno Mars,1,52
2018-01-19,39,Marry Me,Thomas Rhett,39,6
2018-01-19,40,Let Me Go,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,40,16
2018-01-19,41,Attention,Charlie Puth,5,38
2018-01-19,42,The Weekend,SZA,29,24
2018-01-19,43,All The Stars,Kendrick Lamar & SZA,43,1
2018-01-19,44,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,3,37
2018-01-19,45,Roll In Peace,Kodak Black Featuring XXXTENTACION,45,21
2018-01-19,46,Silence,Marshmello Featuring Khalid,30,22
2018-01-19,47,Lights Down Low,MAX Featuring gnash,47,14
2018-01-19,48,Ric Flair Drip,Offset & Metro Boomin,44,11
2018-01-19,49,Unforgettable,French Montana Featuring Swae Lee,3,40
2018-01-19,50,Lemon,N*E*R*D & Rihanna,46,10
2018-01-19,51,Like I Loved You,Brett Young,46,16
2018-01-19,52,Yours,Russell Dickerson,52,13
2018-01-19,53,Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",46,18
2018-01-19,54,Good Old Days,Macklemore Featuring Kesha,54,12
2018-01-19,55,Tell Me You Love Me,Demi Lovato,53,7
2018-01-19,56,I Could Use A Love Song,Maren Morris,56,21
2018-01-19,57,Round Here Buzz,Eric Church,57,16
2018-01-19,58,Codeine Dreaming,Kodak Black Featuring Lil Wayne,52,7
2018-01-19,59,La Modelo,Ozuna x Cardi B,52,3
2018-01-19,60,Echame La Culpa,Luis Fonsi & Demi Lovato,47,8
2018-01-19,61,Greatest Love Story,LANCO,45,19
2018-01-19,62,Rubbin Off The Paint,YBN Nahmir,46,10
2018-01-19,63,Losing Sleep,Chris Young,63,16
2018-01-19,64,This Is Me,Keala Settle & The Greatest Showman Ensemble,64,2
2018-01-19,65,Never Be The Same,Camila Cabello,61,4
2018-01-19,66,I'll Name The Dogs,Blake Shelton,56,18
2018-01-19,67,Candy Paint,Post Malone,50,12
2018-01-19,68,You Broke Up With Me,Walker Hayes,67,12
2018-01-19,69,Written In The Sand,Old Dominion,69,8
2018-01-19,70,Heaven,Kane Brown,70,3
2018-01-19,71,Pick It Up,Famous Dex Featuring A$AP Rocky,71,9
2018-01-19,72,Stir Fry,Migos,72,3
2018-01-19,73,Kooda,6ix9ine,50,6
2018-01-19,74,MIC Drop,BTS Featuring Desiigner,28,7
2018-01-19,75,No Smoke,YoungBoy Never Broke Again,73,6
2018-01-19,76,Betrayed,Lil Xan,67,9
2018-01-19,77,Five More Minutes,Scotty McCreery,77,6
2018-01-19,78,Rewrite The Stars,Zac Efron & Zendaya,78,2
2018-01-19,79,Ice Tray,Quavo & Lil Yachty,74,4
2018-01-19,80,...Ready For It?,Taylor Swift,4,19
2018-01-19,81,All On Me,Devin Dawson,81,7
2018-01-19,82,For You (Fifty Shades Freed),Liam Payne & Rita Ora,82,1
2018-01-19,83,Legends,Kelsea Ballerini,79,6
2018-01-19,84,One Foot,WALK THE MOON,80,2
2018-01-19,85,Nowadays,Lil Skies Featuring Landon Cube,85,1
2018-01-19,86,Best Friend,"Sofi Tukker Featuring NERVO, The Knocks & Alisa Ueno",86,2
2018-01-19,87,My Dawg,Lil Baby,71,5
2018-01-19,88,The Greatest Show,"Hugh Jackman, Keala Settle, Zac Efron, Zendaya & The Greatest Showman Ensemble",88,2
2018-01-19,89,Krippy Kush,"Farruko, Nicki Minaj, Bad Bunny, 21 Savage & Rvssian",75,5
2018-01-19,90,Corazon,Maluma X Nego do Borel,90,2
2018-01-19,91,Broken Halos,Chris Stapleton,90,7
2018-01-19,92,I Miss You,Clean Bandit Featuring Julia Michaels,92,1
2018-01-19,93,Too Much To Ask,Niall Horan,66,12
2018-01-19,94,Mayores,Becky G Featuring Bad Bunny,74,12
2018-01-19,95,Beautiful Trauma,P!nk,95,3
2018-01-19,96,Female,Keith Urban,69,3
2018-01-19,97,Home,"Machine Gun Kelly, X Ambassadors & Bebe Rexha",90,5
2018-01-19,98,Red Roses,Lil Skies Featuring Landon Cube,98,1
2018-01-19,99,Never Enough,Loren Allred,88,2
2018-01-19,100,Juice,Yo Gotti,90,6
2018-01-26,1,Havana,Camila Cabello Featuring Young Thug,1,23
2018-01-26,2,Perfect,Ed Sheeran,1,21
2018-01-26,3,Rockstar,Post Malone Featuring 21 Savage,1,18
2018-01-26,4,Finesse,Bruno Mars & Cardi B,3,3
2018-01-26,5,Bad At Love,Halsey,5,20
2018-01-26,6,Thunder,Imagine Dragons,4,38
2018-01-26,7,No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,4,19
2018-01-26,8,New Rules,Dua Lipa,8,25
2018-01-26,9,Too Good At Goodbyes,Sam Smith,4,19
2018-01-26,10,MotorSport,"Migos, Nicki Minaj & Cardi B",6,12
2018-01-26,11,Gucci Gang,Lil Pump,3,19
2018-01-26,12,Love.,Kendrick Lamar Featuring Zacari,11,30
2018-01-26,13,Gummo,6ix9ine,12,10
2018-01-26,14,Let You Down,NF,14,14
2018-01-26,15,Him & I,G-Eazy & Halsey,15,7
2018-01-26,16,Bartier Cardi,Cardi B Featuring 21 Savage,14,4
2018-01-26,17,Meant To Be,Bebe Rexha & Florida Georgia Line,17,13
2018-01-26,18,End Game,Taylor Swift Featuring Ed Sheeran & Future,18,9
2018-01-26,19,Bodak Yellow (Money Moves),Cardi B,1,29
2018-01-26,20,I Fall Apart,Post Malone,16,17
2018-01-26,21,Shape Of You,Ed Sheeran,1,54
2018-01-26,22,How Long,Charlie Puth,22,15
2018-01-26,23,Feel It Still,Portugal. The Man,4,31
2018-01-26,24,I Get The Bag,Gucci Mane Featuring Migos,11,22
2018-01-26,25,Wolves,Selena Gomez X Marshmello,20,13
2018-01-26,26,Believer,Imagine Dragons,4,50
2018-01-26,27,Plain Jane,A$AP Ferg Featuring Nicki Minaj,26,17
2018-01-26,28,Sorry Not Sorry,Demi Lovato,6,28
2018-01-26,29,Filthy,Justin Timberlake,9,2
2018-01-26,30,Never Be The Same,Camila Cabello,30,5
2018-01-26,31,What Lovers Do,Maroon 5 Featuring SZA,9,21
2018-01-26,32,Young Dumb & Broke,Khalid,18,27
2018-01-26,33,Sky Walker,Miguel Featuring Travis Scott,31,17
2018-01-26,34,River,Eminem Featuring Ed Sheeran,11,5
2018-01-26,35,Marry Me,Thomas Rhett,35,7
2018-01-26,36,Roll In Peace,Kodak Black Featuring XXXTENTACION,36,22
2018-01-26,37,The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,24,21
2018-01-26,38,Bank Account,21 Savage,12,28
2018-01-26,39,Mi Gente,J Balvin & Willy William Featuring Beyonce,3,29
2018-01-26,40,Lemon,N*E*R*D & Rihanna,40,11
2018-01-26,41,Lights Down Low,MAX Featuring gnash,41,15
2018-01-26,42,Let Me Go,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,40,17
2018-01-26,43,Ric Flair Drip,Offset & Metro Boomin,43,12
2018-01-26,44,Attention,Charlie Puth,5,39
2018-01-26,45,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,3,38
2018-01-26,46,The Weekend,SZA,29,25
2018-01-26,47,The Champion,Carrie Underwood Featuring Ludacris,47,1
2018-01-26,48,Unforgettable,French Montana Featuring Swae Lee,3,41
2018-01-26,49,Yours,Russell Dickerson,49,14
2018-01-26,50,Silence,Marshmello Featuring Khalid,30,23
2018-01-26,51,Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",46,19
2018-01-26,52,Like I Loved You,Brett Young,46,17
2018-01-26,53,All The Stars,Kendrick Lamar & SZA,43,2
2018-01-26,54,Good Old Days,Macklemore Featuring Kesha,54,13
2018-01-26,55,Nowadays,Lil Skies Featuring Landon Cube,55,2
2018-01-26,56,Round Here Buzz,Eric Church,56,17
2018-01-26,57,Echame La Culpa,Luis Fonsi & Demi Lovato,47,9
2018-01-26,58,This Is Me,Keala Settle & The Greatest Showman Ensemble,58,3
